taxonID,resourceID,relatedResourceID,relationshipOfResource,relationshipAccordingTo
uredinales-belgium-checklist:taxon:f2bdc4f5c2a9feecb7dd49d2b5db155f,uredinales-belgium-checklist:taxon:ea6faaf3327d0449c8fd9494f6103243,uredinales-belgium-checklist:taxon:f2bdc4f5c2a9feecb7dd49d2b5db155f,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 16"
uredinales-belgium-checklist:taxon:58f197eaed5e856350d2ea9b9b2d2c5a,uredinales-belgium-checklist:taxon:d732f5cca0a3b9b4b9d414caeb04f23e,uredinales-belgium-checklist:taxon:58f197eaed5e856350d2ea9b9b2d2c5a,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 16"
uredinales-belgium-checklist:taxon:023ac4abdac0e11decbba64a2da766ce,uredinales-belgium-checklist:taxon:a8b7720123b29afed610ec730e6e1a6c,uredinales-belgium-checklist:taxon:023ac4abdac0e11decbba64a2da766ce,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 17"
uredinales-belgium-checklist:taxon:01c0dde3e3ed3381e6ec7ae150ce7f0b,uredinales-belgium-checklist:taxon:212569e9580b44ba0c05b512fad15e0c,uredinales-belgium-checklist:taxon:01c0dde3e3ed3381e6ec7ae150ce7f0b,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 17"
uredinales-belgium-checklist:taxon:d08e50d2cf69ba8396dd6f6026afda83,uredinales-belgium-checklist:taxon:c281d1f032713e75fde4b87569074e92,uredinales-belgium-checklist:taxon:d08e50d2cf69ba8396dd6f6026afda83,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 17"
uredinales-belgium-checklist:taxon:dfa47c86afa87b67cc08c8c8cc0c6992,uredinales-belgium-checklist:taxon:1faf58d531d8f846895781b431f6ad82,uredinales-belgium-checklist:taxon:dfa47c86afa87b67cc08c8c8cc0c6992,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 17"
uredinales-belgium-checklist:taxon:501ebab0dab4c563a4aced683c7c086a,uredinales-belgium-checklist:taxon:b1ff1c8b1a8af95288d93b24fa6e0342,uredinales-belgium-checklist:taxon:501ebab0dab4c563a4aced683c7c086a,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 17"
uredinales-belgium-checklist:taxon:ac47571452c9178ea63d823dd6622d3a,uredinales-belgium-checklist:taxon:9d636c4db4f69a70f37e0194974bb614,uredinales-belgium-checklist:taxon:ac47571452c9178ea63d823dd6622d3a,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 17"
uredinales-belgium-checklist:taxon:424b33b7bddd27a5f7543196182fb442,uredinales-belgium-checklist:taxon:8306e373ac6837e91cb499f9db2f12d3,uredinales-belgium-checklist:taxon:424b33b7bddd27a5f7543196182fb442,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 18"
uredinales-belgium-checklist:taxon:0f51d8b941ecda78a7b5caaaf5bd10f7,uredinales-belgium-checklist:taxon:b1ff1c8b1a8af95288d93b24fa6e0342,uredinales-belgium-checklist:taxon:0f51d8b941ecda78a7b5caaaf5bd10f7,parasite of,"Vanderweyen A & Fraiture A (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 18"
