"taxonID","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","eventDate","source"
"uredinales-belgium-checklist:taxon:276e8bbad7cc2c6afe096b234d4011b0","ISO_3166-2:BE","Belgium","BE","present","","1991-09-28/1995-06-26","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 18"
"uredinales-belgium-checklist:taxon:8948a47e9c537d77e6fc2cfafeb96912","ISO_3166-2:BE","Belgium","BE","doubtful","alien","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 19"
"uredinales-belgium-checklist:taxon:476119a4d44e766ef9bc2881faf9d741","ISO_3166-2:BE","Belgium","BE","present","","1889-10","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 19"
"uredinales-belgium-checklist:taxon:0c2aa27ddcb4a57ddfa530c7eb10b7c0","ISO_3166-2:BE","Belgium","BE","present","","1888/1888","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 19"
"uredinales-belgium-checklist:taxon:31a7b7c86801625837f41de7bcd7ebc3","ISO_3166-2:BE","Belgium","BE","present","","1957-08-18/1957-08-18","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 20"
"uredinales-belgium-checklist:taxon:958c8eb6297e3ce6ce245d56c2de4852","ISO_3166-2:BE","Belgium","BE","present","","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 20"
"uredinales-belgium-checklist:taxon:c7567e95e60a748a240f46d0050fe3c4","ISO_3166-2:BE","Belgium","BE","present","","1999-07-17/1999-07-17","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 20"
"uredinales-belgium-checklist:taxon:e29dff08f91fa54891b2f4260768aab4","ISO_3166-2:BE","Belgium","BE","present","","1860/1881","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 20"
"uredinales-belgium-checklist:taxon:db30e4164ac55bc088ba3f152100628f","ISO_3166-2:BE","Belgium","BE","present","introduced","1864/1998-05-24","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 20"
"uredinales-belgium-checklist:taxon:93f35f879326ce93d87dbc89337563ba","ISO_3166-2:BE","Belgium","BE","present","introduced","1901-06/1999-07-28","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 21"
"uredinales-belgium-checklist:taxon:707fd9d684e98519a5b29669448d498d","ISO_3166-2:BE","Belgium","BE","doubtful","alien","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 21"
"uredinales-belgium-checklist:taxon:e903608c8102d764e7232e4ffb9c8289","ISO_3166-2:BE","Belgium","BE","present","","1999-09-04","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 21"
"uredinales-belgium-checklist:taxon:142bcba56ba40c6e961f02ad08458b7a","ISO_3166-2:BE","Belgium","BE","doubtful","","1898","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 22"
"uredinales-belgium-checklist:taxon:cc8a492ceeb88c64a484994fc6643df6","ISO_3166-2:BE","Belgium","BE","present","","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 22"
"uredinales-belgium-checklist:taxon:ee7e4379f90f07d90fe2539098c80ea1","ISO_3166-2:BE","Belgium","BE","present","","1956-05-08/1978-05-22","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 2ème partie, Pucciniaceae (sauf Puccinia)(suite 2). Lejeunia, Revue de Botanique. Page: 22"
