scientificName	catalogNumber	part	page	from	to	family	hostPlant	occurrenceStatus	establishmentMeans
Puccinia acetosae Körn. 	101	3	8	15.VII.2000		Pucciniaceae	 Rumex acetosa,  Rumex acetosella,  Rumex obtusifolius,  Rumex palustris	present	
Puccinia adoxae R. Hedw. 	102	3	8	14.V.1966	15.V.2010	Pucciniaceae	 Adoxa moschatellina	present	
Puccinia aegopodii (F. Strauss) Röhl. 	103	3	9	17.VI.1899	05.IX.2002	Pucciniaceae	 Aegopodium podagraria	present	native
Puccinia albescens Plowr. 	104	3	9	07.IV.1878	12.IV.2009	Pucciniaceae	 Adoxa moschatellina	present	native
Puccinia allii F. Rudolphi 	105	3	9	19.XI.1974	28.VI.2010	Pucciniaceae	 Allium porrum,  Allium sativum,  Allium scorodoprasum,  Allium sphaerocephalon,  Allium vineale	present	
Puccinia angelicae (Schumach.) Fuckel 	106	3	10			Pucciniaceae	 Angelica sylvestris,  Peucedanum palustre,  Silaum silaus,  Selinum carvifolia	present	
Puccinia annularis (F. Strauss) Röhl. 	107	3	11	29.VIII.1856	10.XI.1996	Pucciniaceae	 Teucrium scorodonia,  Teucrium botrys	present	native
Puccinia antirrhini Dietel & Holw. 	108	3	11	VII.1947		Pucciniaceae	 Antirrhinum majus	present	alien
Puccinia apii Desm. 	109	3	11	1878		Pucciniaceae	 Apium graveolens	present	
Puccinia arenariae (Schumach.) G. Winter	110	3	11	12.VII.1856	28.X.2007	Pucciniaceae	 Cerastium,  Dianthus barbatus,  Herniaria hirsuta,  Moehringia trinervia,  Myosoton aquaticum,  Silene dioica,  Silene latifolia subsp. alba,  Spergula arvensis,  Stellaria nemorum	present	native
Puccinia argentata (Schultz) G. Winter 	111	3	12	VIII.1898	30.IV.1995	Pucciniaceae	 Adoxa moschatellina,  Impatiens noli-tangere	present	native
Puccinia asparagi DC. 	112	3	13	X.1886		Pucciniaceae	 Asparagus officinalis	present	
Puccinia behenis G.H.Otth 	113	3	13	09.XI.1999		Pucciniaceae	 Silene dioica,  Silene latifolia subsp. alba	present	
Puccinia betonicae (Alb. & Schwein.) DC. 	114	3	13		07.V.2010	Pucciniaceae	 Stachys officinalis	present	
Puccinia bistortae DC. 	115	3	13	22.VIII.1856	07.VII.2007	Pucciniaceae	 Angelica,  Carum,  Conopodium,  Persicaria bistorta	present	native
Puccinia brachypodii var. arrhenatheri (Kleb.) Cummins & H.C. Greene 	116	3	13	IX.1901	05.IV.1995	Pucciniaceae	 Berberis vulgaris,  Arrhenatherum elatius,  Deschampsia cespitosa	present	native
Puccinia brachypodii G.H. Otth var. brachypodii	117	3	14	21.VIII.1994		Pucciniaceae	 Berberis vulgaris,  Brachypodium sylvaticum,  Brachypodium pinnatum	present	
Puccinia brachypodii var. poae-nemoralis (G.H. Otth) Cummins & H.C. Greene 	118	3	14	VII.1884	07.V.1995	Pucciniaceae	 Arrhenatherum elatius,  Poa compressa,  Poa nemoralis,  Poa trivialis	present	native
Puccinia bromina Erikss. 	119	3	14	03.VI.1894	08.VI.1998	Pucciniaceae	 Symphytum officinalis,  Bromus hordeaceus	present	native
Puccinia bulbocastani Fuckel 	120	3	15			Pucciniaceae	 Bunium bulbocastanum	present	
Puccinia bupleuri Rudolphi 	121	3	15	28.V.1904	VI.1904	Pucciniaceae	 Bupleurum falcatum	present	
Puccinia buxi DC. 	122	3	15	08.XI.1958	01.III.2008	Pucciniaceae	 Buxus sempervirens	present	
Puccinia calcitrapae DC. 	123	3	15	IX.1883	28.IX.2009	Pucciniaceae	 Arctium minus,  Arctium minus subsp. pubens,  Carduus crispus,  Centaurea calcitrapa,  Centaurea jacea,  Centaurea jacea subsp. grandiflora,  Centaurea jacea subsp. nigra,  Centaurea scabiosa,  Cirsium oleraceum,  Cirsium palustre,  Crepis capillaris	present	native
Puccinia calthae Link 	124	3	16	13.VIII.1901		Pucciniaceae	 Caltha palustris	present	
Puccinia calthicola J. Schröt. 	125	3	16	19.VIII.1921	17.V.2009	Pucciniaceae	 Caltha palustris	present	native
Puccinia campanulae Carm. ex Berk. 	126	3	16	1852		Pucciniaceae	 Campanula rotundifolia,  Campanula rapunculus	doubtful	
Puccinia caricina DC. 	127	3	16	07.X.1856	09.VIII.2008	Pucciniaceae	 Ribes uva-crispa,  Carex acuta,  Carex pendula	present	native
Puccinia chaerophylli Purton 	128	3	17	21.IX.2000	08.VI.2010	Pucciniaceae	 Anthriscus sylvestris,  Myrrhis odorata,  Chaerophyllum temulum,  Torilis japonica 	present	
Puccinia chamaedryos Ces. 	129	3	17	IX.1913		Pucciniaceae	 Teucrium chamaedrys,  Teucrium botrys	present	
Puccinia chrysosplenii Grev. 	130	3	18	IX.1890		Pucciniaceae	 Chrysosplenium oppositifolium,  Chrysosplenium alternifolium	present	
Puccinia cicutae Lasch 	131	3	18			Pucciniaceae	 Cicuta virosa	doubtful	
Puccinia circaeae Pers.: Pers. 	132	3	18	08.IX.2004		Pucciniaceae	 Circaea lutetiana 	present	
Puccinia cnici H. Mart. 	133	3	18	09.XI.1999		Pucciniaceae	 Cirsium vulgare	present	
Puccinia cnici-oleracei Pers. 	134	3	18	VIII.1886	06.VIII.2005	Pucciniaceae	 Achillea millefolium,  Achillea ptarmica,  Aster tripolium,  Cirsium oleraceum,  Cirsium palustre,  Achillea,  Anthemis,  Artemisia,  Aster,  Centaurea,  Chrysanthemum	present	native
Puccinia commutata P. Syd. & Syd. 	135	3	19			Pucciniaceae	 Valeriana repens	present	
Puccinia conglomerata (F. Strauss) Röhl. 	136	3	19	1850	2012	Pucciniaceae	 Homogyne alpina	absent	alien
Puccinia convolvuli Castagne 	137	3	20	25.VI.2000	07.IX.2009	Pucciniaceae	 Calystegia sepium,  Convolvulus arvensis	present	
Puccinia coronata Corda 	138	3	20	IX.1887	25.V.2009	Pucciniaceae	 Frangula alnus,  Rhamnus cathartica,  Agrostis gigantea,  Agrostis stolonifera,  Alopecurus pratensis,  Arrhenatherum elatius,  Avena sativa,  Brachypodium sylvaticum,  Calamagrostis arundinacea,  Calamagrostis canescens,  Dactylis glomerata,  Elymus repens,  Holcus mollis,  Lolium perenne,  Molinia caerulea,  Phalaris arundinacea,  Poa pratensis,  Puccinellia distans,  Festuca arundinacea,  Melica nutans	present	native
Puccinia corrigiolae Chevall. 	139	3	21			Pucciniaceae	 Corrigiola litoralis	present	
Puccinia crepidicola Syd. & P. Syd. 	140	3	21	25.IX.1995		Pucciniaceae	 Crepis capillaris,  Crepis polymorpha	present	
Puccinia crepidis J. Schröt. 	141	3	21	IX.1901	01.VIII.1918	Pucciniaceae	 Crepis capillaris,  Crepis tectorum	present	
Puccinia cyani Pass. 	142	3	21	03.VIII.1994		Pucciniaceae	 Centaurea cyanus	present	
Puccinia dioicae var. arenariicola (Plowr.) D.M. Hend. 	143	3	22		1939	Pucciniaceae	 Centaurea jacea subsp. nigra,  Carex arenaria	doubtful	
Puccinia dioicae Magnus var. dioicae 	144	3	22	05.VI.1990		Pucciniaceae	 Cirsium oleraceum,  Carex	present	
Puccinia dioicae var. extensicola (Plowr.) D.M. Hend. 	145	3	22	31.VII.1901		Pucciniaceae	 Aster tripolium,  Carex extensa	present	
Puccinia dioicae var. schoeleriana (Plowr. & Magnus) D.M. Hend. 	146	3	22	VI.1919	28.V.1933	Pucciniaceae	 Senecio jacobaea,  Carex arenaria	present	
Puccinia dioicae var. silvatica (J. Schröt.) D.M. Hend. 	147	3	22		21.VII.2001	Pucciniaceae	 Senecio ovatus,  Taraxacum officinale,  Carex viridula,  Carex brizoides	present	
