scientificName	catalogNumber	part	page	from	to	eventDate	taxonRank	family	associatedTaxa	occurrenceStatus	Column
Endophyllum euphorbiae-silvaticae (DC.) G. Winter	54	2	11	1885	1885	1885/1885	species	Pucciniaceae	parasite of: Euphorbia amygdaloides	present	
Endophyllum sempervivi (Alb. & Schwein.) de Bary	55	2	12	18.5.1919	1956	1919-05-18/1956	species	Pucciniaceae	parasite of: Sempervivum tectorum	present	
Gymnosporangium clavariiforme (Wulfen : Pers.) DC.	56	2	12	14.6.1917	17.4.2008	1917-06-14/2008-04-17	species	Pucciniaceae	parasite of: Crataegus monogyna| parasite of: Juniperus communis	present	native
Gymnosporangium confusum Plowr.	57	2	12	7/1879	6/1882	1879-07/1882-06	species	Pucciniaceae	parasite of: Mespilus germanica| parasite of: Cydonia oblonga| parasite of: Crataegus| parasite of: Juniperus sabina| parasite of: Juniperus virginiana	present	alien
Gymnosporangium cornutum Arthur ex F. Kern	58	2	12	05.10.1884	8.1902	1884-10-05/1902-08	species	Pucciniaceae	parasite of: Sorbus aucuparia| parasite of: Juniperus communis	present	
Gymnosporangium sabinae (Dicks.) G. Winter	59	2	13	VII.1878	02.X.2008	1878-07/2008-10-02	species	Pucciniaceae	parasite of: Pyrus calleryana| parasite of: Pyrus communis| parasite of: Pyrus communis subsp. Pyraster| parasite of: Pyrus salicifolia f. pendula| parasite of: Juniperus x media| parasite of: Juniperus x pfitzeriana| parasite of: Juniperus sabina| parasite of: Juniperus virginiana	present	alien
Miyagia pseudosphaeria (Mont.) Jørst.	60	2	14	30.IX.1997	16.VIII.2000	1997-09-30/2000-08-16	species	Pucciniaceae	parasite of: Sonchus arvensis| parasite of: Sonchus asper| parasite of: Sonchus oleraceus| parasite of: Sonchus palustris	present	
Uromyces acetosae J. Schröt.	61	2	14	VIII.1922	VIII.1922	1922-08/1922-08	species	Pucciniaceae	parasite of: Rumex acetosa| parasite of: Rumex acetosella	present	
Uromyces aecidiiformis (F. Strauss) C.C. Rees	62	2	14				species	Pucciniaceae	parasite of: Fritillaria| parasite of: Lilium candidum| parasite of: Lilium martagon	doubtful	
Uromyces anthyllidis J. Schröt.	63	2	14	VIII.1919	14.XI.1995	1919-08/1995-11-14	species	Pucciniaceae	parasite of: Euphorbia| parasite of: Anthyllis vulneraria| parasite of: Medicago arabica| parasite of: Trifolium dubium| parasite of: Medicago minima| parasite of: Hippocrepis comosa| parasite of: Lupinus luteus	present	
